Protein A,Protein B
2-Mar,STX6
2-Mar,UBE2H
4-Mar,CD4
5-Mar,FIS1
5-Mar,MFN2
5-Mar,UTRN
8-Mar,CD86
2-Sep,6-Sep
2-Sep,DAZAP2
2-Sep,STX1A
4-Sep,5-Sep
4-Sep,PARK2
4-Sep,SNCB
5-Sep,2-Sep
5-Sep,MYST2
5-Sep,PARK2
5-Sep,STX1A
5-Sep,STX4
6-Sep,1-Sep
7-Sep,9-Sep
7-Sep,11-Sep
7-Sep,CDC42EP2
8-Sep,4-Sep
8-Sep,5-Sep
9-Sep,2-Sep
9-Sep,6-Sep
9-Sep,HIF1A
9-Sep,RAB10
11-Sep,9-Sep
$OC90$,BMPR2
$ZBTB8$,CEP70
$ZBTB8$,LMO3
$ZBTB8$,LNX1
$ZBTB8$,MCM10
$ZBTB8$,TRIM41
$ZBTB8$,ZNF250
$ZBTB8$,ZNF276
$ZBTB8$,ZNF408
A1CF,APOBEC1
A1CF,CUGBP2
A1CF,KHSRP
A1CF,SYNCRIP
A1CF,TNPO2
A2M,ATF7IP
A2M,C11orf58
A2M,SHBG
AAMP,TH1L
AARS,EEF1B2
AATF,ATM
AATF,ATR
AATF,CHEK1
AATF,DAPK3
AATF,MAPT
AATF,MPP6
AATF,PAWR
AATF,RB1
AATF,RELA
AATF,SP1
AATF,TSG101
ABCA1,AOX1
ABCA1,ARHGEF11
ABCA1,ARHGEF12
ABCA1,DLG2
ABCA1,DLG3
ABCA1,DLG5
ABCA1,GOPC
ABCA1,LIMK1
ABCA1,LIN7A
ABCA1,LIN7B
ABCA1,LIN7C
ABCA1,LMO7
ABCA1,MPDZ
ABCA1,MPP6
ABCA1,PDLIM3
ABCA1,PDLIM4
ABCA1,PDZK1
ABCA1,RAPGEF6
ABCA1,RIMS2
ABCA1,SDHB
ABCA1,SHANK1
ABCA1,SLC25A34
ABCA1,SNTA1
ABCA1,SNTB1
ABCA1,SNTB2
ABCA1,TIAM1
ABCA1,TRIM27
ABCA1,UGP2
ABCB1,CAV1
ABCB7,FECH
ABCB8,C4orf14
ABCC2,CANX
ABCC2,PDZD3
ABCC2,RDX
ABCC9,EEF1G
ABCC9,KCNJ11
ABCC9,KCNJ8
ABCC9,LDHA
ABCD1,ABCD3
ABCD2,ABCD1
ABCD2,ABCD3
ABCD2,PEX19
ABCD4,DLEU1
ABCD4,PEA15
ABCD4,TMEM66
ABCE1,RNASE2
ABCE1,RNASEL
ABCF1,EIF6
ABCF3,C4orf14
ABCF3,SLC35E1
ABCF3,TOE1
ABCG4,ABCG1
ABCG8,ABCG5
ABHD5,PLIN1
ABHD5,PLIN2
ABI1,EPS8
ABI1,NCF1
ABI1,NCK1
ABI1,NEB
ABI1,SOS1
ABI1,SOS2
ABI1,SPTA1
ABI1,SPTAN1
ABI2,ABL1
ABI2,CCDC53
ABI2,IFT20
ABI2,KRT20
ABI2,SH3KBP1
ABI2,TRIM32
ABI3,CYFIP2
ABI3,DTNBP1
ABI3,HOMER1
ABI3,KIAA0408
ABI3,KIAA1712
ABI3,PAK1
ABI3,PAK2
ABI3,SOS1
ABI3,TMEM147
ABI3BP,ABI3
ABL1,ABI1
ABL1,ABL2
ABL1,ACTA1
ABL1,APP
ABL1,BCR
ABL1,BTK
ABL1,C3
ABL1,CASP9
ABL1,CAV1
ABL1,CBL
ABL1,CD19
ABL1,CDK5
ABL1,CDKN1B
ABL1,CREB1
ABL1,CRK
ABL1,DDB1
ABL1,DDB2
ABL1,GPX1
ABL1,GRB2
ABL1,HCK
ABL1,JAK1
ABL1,JAK2
ABL1,JUN
ABL1,MAP4K1
ABL1,MAPT
ABL1,MDM2
ABL1,PIK3R1
ABL1,PLCG1
ABL1,PLSCR1
ABL1,PRKD1
ABL1,PSTPIP1
ABL1,PTPN6
ABL1,RAD51
ABL1,RAD52
ABL1,RAD9A
ABL1,RASA1
ABL1,RB1
ABL1,ROBO1
ABL1,ROS1
ABL1,SFN
ABL1,ST5
ABL1,TERT
ABL1,TP73
ABL1,TRAF6
ABL1,WASL
ABL1,XRCC6
ABL1,YAP1
ABL1,YWHAB
ABL1,YWHAE
ABL1,YWHAG
ABL1,YWHAH
ABL1,YWHAQ
ABL1,YWHAZ
ABL1,ZAP70
ABL2,BCR
ABL2,CAT
ABL2,CRK
ABL2,GPX1
ABL2,HCK
ABL2,SIVA1
ABLIM1,ACTG1
ABLIM1,BEGAIN
ABLIM1,CALCOCO2
ABLIM1,GOLGA2
ABLIM1,HOOK2
ABLIM1,KCNJ12
ABLIM1,TSC22D4
ABLIM1,USHBP1
ABLIM3,ACTC1
