ceRNA1,ceRNA2
ABHD13,PTEN
AEG-1,SNAIL
AEG-1,VIMENTIN
AFF1,PTEN
Ang-2,VEGF
CCDC6,PTEN
CD34,VCAN
CDC42,CD44
CNOT6L,PTEN
COL1A1,CD44
CTBP2,PTEN
DCLK1,PTEN
DKK1,PTEN
FN1,CD44
FN1,VCAN
HIAT1,PTEN
HIF1A,PTEN
HMGA2,TGFBR3
IGF1R,ROCK2
JARID2,PTEN
KLF6,PTEN
LRCH1,PTEN
MBNL1,PTEN
NRAS,PTEN
VCAN,PTEN
RAP1B,IGF1R
RB1,PTEN
RB1,PDGFRA
RB1,STAT3
RBM9,PTEN
ROCK2,RAP1B
RUNX1,PDGFRA
RUNX1,PTEN
RUNX1,VEGFA
SERINC1,PTEN
STAT3,RUNX1
TAF5,PTEN
TNKS2,PTEN
TNRC6a,PTEN
TNRC6b,PTEN
VAPA,PTEN
VCAN,RB1
VCAN,PTEN
VEGFA,PTEN
ZEB2,PTEN
ZNF460,PTEN
