mir,gene
hsa-miR-122-5p,AACS
hsa-miR-183-5p,AANAT
hsa-miR-128-3p,ABCA1
hsa-miR-19a-3p,ABCA1
hsa-miR-26a-5p,ABCA1
hsa-miR-26b-5p,ABCA1
hsa-miR-27a-3p,ABCA1
hsa-miR-27b-3p,ABCA1
hsa-miR-33a-5p,ABCA1
hsa-miR-33b-5p,ABCA1
hsa-miR-613,ABCA1
hsa-miR-129-5p,ABCB1
hsa-miR-223-3p,ABCB1
hsa-miR-451a,ABCB1
hsa-miR-508-5p,ABCB1
hsa-miR-33a-5p,ABCB11
hsa-miR-31-5p,ABCB9
hsa-miR-1291,ABCC1
hsa-miR-134-5p,ABCC1
hsa-miR-345-5p,ABCC1
hsa-miR-7-5p,ABCC1
hsa-miR-129-5p,ABCC5
hsa-miR-203a-3p,ABCE1
hsa-miR-128-3p,ABCG1
hsa-miR-129-5p,ABCG1
hsa-miR-142-3p,ABCG2
hsa-miR-181a-5p,ABCG2
hsa-miR-328-3p,ABCG2
hsa-miR-487a-3p,ABCG2
hsa-miR-519c-3p,ABCG2
hsa-miR-520h,ABCG2
hsa-miR-145-5p,ABHD17C
hsa-miR-203a-3p,ABL1
hsa-miR-29a-3p,ABL1
hsa-miR-30a-5p,ABL1
hsa-miR-4723-5p,ABL1
hsa-miR-20a-5p,ABL2
hsa-miR-145-5p,ABRACL
hsa-miR-125b-5p,ABTB1
hsa-miR-9-5p,ACAT1
hsa-miR-212-3p,ACHE
hsa-miR-205-5p,ACSL1
hsa-miR-34a-5p,ACSL1
hsa-miR-205-5p,ACSL4
hsa-miR-34a-5p,ACSL4
hsa-miR-644a,ACTB
hsa-miR-206,ACTL6A
hsa-miR-130a-3p,Acvr1
hsa-miR-148a-3p,ACVR1
hsa-miR-148b-3p,ACVR1
hsa-miR-26a-5p,ACVR1
hsa-miR-365a-3p,ACVR1
hsa-miR-135b-5p,ACVR1B
hsa-miR-199a-5p,ACVR1B
hsa-miR-24-3p,ACVR1B
hsa-miR-376c-3p,ACVR1C
